episode,reward,topology
764,102.0,topology_4host
765,95.0,topology_4host
766,83.0,topology_4host
767,114.0,topology_4host
768,96.0,topology_4host
769,104.0,topology_4host
770,59.0,topology_4host
771,121.0,topology_4host
772,102.0,topology_4host
773,126.0,topology_4host
774,104.0,topology_4host
775,89.0,topology_4host
776,116.0,topology_4host
777,54.0,topology_4host
778,111.0,topology_4host
779,84.0,topology_4host
780,93.0,topology_4host
781,95.0,topology_4host
782,76.0,topology_4host
783,77.0,topology_4host
784,137.0,topology_4host
785,98.0,topology_4host
786,79.0,topology_4host
787,49.0,topology_4host
788,92.0,topology_4host
789,109.0,topology_4host
790,112.0,topology_4host
791,56.0,topology_4host
792,95.0,topology_4host
793,85.0,topology_4host
794,69.0,topology_4host
795,112.0,topology_4host
796,108.0,topology_4host
797,88.0,topology_4host
798,76.0,topology_4host
799,115.0,topology_4host
800,112.0,topology_4host
801,107.0,topology_4host
802,44.0,topology_4host
803,98.0,topology_4host
804,110.0,topology_4host
805,92.0,topology_4host
806,78.0,topology_4host
807,118.0,topology_4host
808,78.0,topology_4host
809,124.0,topology_4host
810,44.0,topology_4host
811,97.0,topology_4host
812,105.0,topology_4host
813,108.0,topology_4host
814,86.0,topology_4host
815,117.0,topology_4host
816,61.0,topology_4host
817,75.0,topology_4host
818,119.0,topology_4host
819,119.0,topology_4host
820,118.0,topology_4host
821,76.0,topology_4host
822,131.0,topology_4host
823,52.0,topology_4host
824,57.0,topology_4host
825,66.0,topology_4host
826,-12.0,topology_4host
827,79.0,topology_4host
828,113.0,topology_4host
829,77.0,topology_4host
830,104.0,topology_4host
831,66.0,topology_4host
832,109.0,topology_4host
833,62.0,topology_4host
834,101.0,topology_4host
835,127.0,topology_4host
836,94.0,topology_4host
837,96.0,topology_4host
838,99.0,topology_4host
839,124.0,topology_4host
840,72.0,topology_4host
841,108.0,topology_4host
842,112.0,topology_4host
843,126.0,topology_4host
844,85.0,topology_4host
845,79.0,topology_4host
846,93.0,topology_4host
847,88.0,topology_4host
848,114.0,topology_4host
849,84.0,topology_4host
850,58.0,topology_4host
851,82.0,topology_4host
852,93.0,topology_4host
853,72.0,topology_4host
854,66.0,topology_4host
855,89.0,topology_4host
856,106.0,topology_4host
857,88.0,topology_4host
858,76.0,topology_4host
859,155.0,topology_4host
860,88.0,topology_4host
861,112.0,topology_4host
862,121.0,topology_4host
863,122.0,topology_4host
